,0,1,2
0,"[19.43494, -99.195697]","[19.348982397554433, -99.41006897111343]",3646
1,"[19.43494, -99.195697]","[19.305285452158095, -99.39848815802986]",2634
2,"[19.43494, -99.195697]","[19.344505860824373, -99.41412558420897]",3255
3,"[19.43494, -99.195697]","[19.215753641338598, -99.28784104799603]",3955
4,"[19.43494, -99.195697]","[19.24366307743769, -99.37410378989058]",2807
5,"[19.43494, -99.195697]","[19.210003017001746, -99.37239974791837]",4479
6,"[19.43494, -99.195697]","[19.283233143613977, -99.38244708305169]",2516
7,"[19.43494, -99.195697]","[19.21726790349794, -99.32291114051043]",4285
8,"[19.43494, -99.195697]","[19.250817894650115, -99.25583556469013]",3007
9,"[19.43494, -99.195697]","[19.33954768146602, -99.37505054799445]",3528
10,"[19.43494, -99.195697]","[19.212677047683112, -99.302143970052]",4257
11,"[19.43494, -99.195697]","[19.260036669744057, -99.39534166191987]",3707
12,"[19.43494, -99.195697]","[19.293661871392363, -99.29865490593097]",2527
13,"[19.43494, -99.195697]","[19.3065061616201, -99.39325293491389]",2405
14,"[19.43494, -99.195697]","[19.267786613473948, -99.28242028807253]",3190
15,"[19.348982397554433, -99.41006897111343]","[19.305285452158095, -99.39848815802986]",1509
16,"[19.348982397554433, -99.41006897111343]","[19.344505860824373, -99.41412558420897]",1666
17,"[19.348982397554433, -99.41006897111343]","[19.215753641338598, -99.28784104799603]",5457
18,"[19.348982397554433, -99.41006897111343]","[19.24366307743769, -99.37410378989058]",2070
19,"[19.348982397554433, -99.41006897111343]","[19.210003017001746, -99.37239974791837]",3743
20,"[19.348982397554433, -99.41006897111343]","[19.283233143613977, -99.38244708305169]",1779
21,"[19.348982397554433, -99.41006897111343]","[19.21726790349794, -99.32291114051043]",4937
22,"[19.348982397554433, -99.41006897111343]","[19.250817894650115, -99.25583556469013]",4540
23,"[19.348982397554433, -99.41006897111343]","[19.33954768146602, -99.37505054799445]",1525
24,"[19.348982397554433, -99.41006897111343]","[19.212677047683112, -99.302143970052]",4972
25,"[19.348982397554433, -99.41006897111343]","[19.260036669744057, -99.39534166191987]",2970
26,"[19.348982397554433, -99.41006897111343]","[19.293661871392363, -99.29865490593097]",2712
27,"[19.348982397554433, -99.41006897111343]","[19.3065061616201, -99.39325293491389]",1281
28,"[19.348982397554433, -99.41006897111343]","[19.267786613473948, -99.28242028807253]",4476
29,"[19.305285452158095, -99.39848815802986]","[19.344505860824373, -99.41412558420897]",1666
30,"[19.305285452158095, -99.39848815802986]","[19.215753641338598, -99.28784104799603]",4543
31,"[19.305285452158095, -99.39848815802986]","[19.24366307743769, -99.37410378989058]",1156
32,"[19.305285452158095, -99.39848815802986]","[19.210003017001746, -99.37239974791837]",2829
33,"[19.305285452158095, -99.39848815802986]","[19.283233143613977, -99.38244708305169]",865
34,"[19.305285452158095, -99.39848815802986]","[19.21726790349794, -99.32291114051043]",4023
35,"[19.305285452158095, -99.39848815802986]","[19.250817894650115, -99.25583556469013]",3626
36,"[19.305285452158095, -99.39848815802986]","[19.33954768146602, -99.37505054799445]",1611
37,"[19.305285452158095, -99.39848815802986]","[19.212677047683112, -99.302143970052]",4058
38,"[19.305285452158095, -99.39848815802986]","[19.260036669744057, -99.39534166191987]",2056
39,"[19.305285452158095, -99.39848815802986]","[19.293661871392363, -99.29865490593097]",1799
40,"[19.305285452158095, -99.39848815802986]","[19.3065061616201, -99.39325293491389]",226
41,"[19.305285452158095, -99.39848815802986]","[19.267786613473948, -99.28242028807253]",3562
42,"[19.344505860824373, -99.41412558420897]","[19.215753641338598, -99.28784104799603]",4543
43,"[19.344505860824373, -99.41412558420897]","[19.24366307743769, -99.37410378989058]",1156
44,"[19.344505860824373, -99.41412558420897]","[19.210003017001746, -99.37239974791837]",2829
45,"[19.344505860824373, -99.41412558420897]","[19.283233143613977, -99.38244708305169]",1489
46,"[19.344505860824373, -99.41412558420897]","[19.21726790349794, -99.32291114051043]",4646
47,"[19.344505860824373, -99.41412558420897]","[19.250817894650115, -99.25583556469013]",4250
48,"[19.344505860824373, -99.41412558420897]","[19.33954768146602, -99.37505054799445]",1768
49,"[19.344505860824373, -99.41412558420897]","[19.212677047683112, -99.302143970052]",4681
50,"[19.344505860824373, -99.41412558420897]","[19.260036669744057, -99.39534166191987]",2680
51,"[19.344505860824373, -99.41412558420897]","[19.293661871392363, -99.29865490593097]",2422
52,"[19.344505860824373, -99.41412558420897]","[19.3065061616201, -99.39325293491389]",991
53,"[19.344505860824373, -99.41412558420897]","[19.267786613473948, -99.28242028807253]",4186
54,"[19.215753641338598, -99.28784104799603]","[19.24366307743769, -99.37410378989058]",1780
55,"[19.215753641338598, -99.28784104799603]","[19.210003017001746, -99.37239974791837]",3672
56,"[19.215753641338598, -99.28784104799603]","[19.283233143613977, -99.38244708305169]",3693
57,"[19.215753641338598, -99.28784104799603]","[19.21726790349794, -99.32291114051043]",447
58,"[19.215753641338598, -99.28784104799603]","[19.250817894650115, -99.25583556469013]",1354
59,"[19.215753641338598, -99.28784104799603]","[19.33954768146602, -99.37505054799445]",5353
60,"[19.215753641338598, -99.28784104799603]","[19.212677047683112, -99.302143970052]",419
61,"[19.215753641338598, -99.28784104799603]","[19.260036669744057, -99.39534166191987]",4521
62,"[19.215753641338598, -99.28784104799603]","[19.293661871392363, -99.29865490593097]",4599
63,"[19.215753641338598, -99.28784104799603]","[19.3065061616201, -99.39325293491389]",4209
64,"[19.215753641338598, -99.28784104799603]","[19.267786613473948, -99.28242028807253]",4022
65,"[19.24366307743769, -99.37410378989058]","[19.210003017001746, -99.37239974791837]",1673
66,"[19.24366307743769, -99.37410378989058]","[19.283233143613977, -99.38244708305169]",434
67,"[19.24366307743769, -99.37410378989058]","[19.21726790349794, -99.32291114051043]",2867
68,"[19.24366307743769, -99.37410378989058]","[19.250817894650115, -99.25583556469013]",3777
