,0,1,2
0,"[19.200480785694886, -99.06857299540648]","[19.24683845748336, -99.16126488643575]",3283
1,"[19.200480785694886, -99.06857299540648]","[19.302691102166445, -99.1503164683647]",3404
2,"[19.200480785694886, -99.06857299540648]","[19.309437134330768, -99.16548155568837]",3229
3,"[19.200480785694886, -99.06857299540648]","[19.216767628615436, -99.20382009440948]",4462
4,"[19.200480785694886, -99.06857299540648]","[19.230187704759373, -99.19245863465683]",3870
5,"[19.200480785694886, -99.06857299540648]","[19.288005908707827, -99.13134020603029]",2764
6,"[19.200480785694886, -99.06857299540648]","[19.32225543254924, -99.16119649805853]",3529
7,"[19.200480785694886, -99.06857299540648]","[19.224898463487445, -99.24117238947034]",4975
8,"[19.200480785694886, -99.06857299540648]","[19.299795680691915, -99.19771371374877]",3393
9,"[19.200480785694886, -99.06857299540648]","[19.262283454737926, -99.0840595002207]",1811
10,"[19.200480785694886, -99.06857299540648]","[19.306508838764096, -99.14526157993895]",3279
11,"[19.200480785694886, -99.06857299540648]","[19.226021457671923, -99.06484388336412]",857
12,"[19.24683845748336, -99.16126488643575]","[19.302691102166445, -99.1503164683647]",1553
13,"[19.24683845748336, -99.16126488643575]","[19.309437134330768, -99.16548155568837]",1541
14,"[19.24683845748336, -99.16126488643575]","[19.216767628615436, -99.20382009440948]",1916
15,"[19.24683845748336, -99.16126488643575]","[19.230187704759373, -99.19245863465683]",1325
16,"[19.24683845748336, -99.16126488643575]","[19.288005908707827, -99.13134020603029]",1476
17,"[19.24683845748336, -99.16126488643575]","[19.32225543254924, -99.16119649805853]",1858
18,"[19.24683845748336, -99.16126488643575]","[19.224898463487445, -99.24117238947034]",2429
19,"[19.24683845748336, -99.16126488643575]","[19.299795680691915, -99.19771371374877]",1763
20,"[19.24683845748336, -99.16126488643575]","[19.262283454737926, -99.0840595002207]",2594
21,"[19.24683845748336, -99.16126488643575]","[19.306508838764096, -99.14526157993895]",1427
22,"[19.24683845748336, -99.16126488643575]","[19.226021457671923, -99.06484388336412]",3648
23,"[19.302691102166445, -99.1503164683647]","[19.309437134330768, -99.16548155568837]",432
24,"[19.302691102166445, -99.1503164683647]","[19.216767628615436, -99.20382009440948]",2622
25,"[19.302691102166445, -99.1503164683647]","[19.230187704759373, -99.19245863465683]",2031
26,"[19.302691102166445, -99.1503164683647]","[19.288005908707827, -99.13134020603029]",838
27,"[19.302691102166445, -99.1503164683647]","[19.32225543254924, -99.16119649805853]",707
28,"[19.302691102166445, -99.1503164683647]","[19.224898463487445, -99.24117238947034]",2639
29,"[19.302691102166445, -99.1503164683647]","[19.299795680691915, -99.19771371374877]",808
30,"[19.302691102166445, -99.1503164683647]","[19.262283454737926, -99.0840595002207]",1878
31,"[19.302691102166445, -99.1503164683647]","[19.306508838764096, -99.14526157993895]",486
32,"[19.302691102166445, -99.1503164683647]","[19.226021457671923, -99.06484388336412]",2942
