,0,1,2
0,"[19.43494, -99.195697]","[19.353501270004404, -99.15872310069946]",1654
1,"[19.43494, -99.195697]","[19.359143913879322, -98.92848920641764]",4069
2,"[19.43494, -99.195697]","[19.543669463894723, -99.27755231685443]",1525
3,"[19.43494, -99.195697]","[19.46909015651368, -99.41351017908747]",3607
4,"[19.43494, -99.195697]","[19.451386763323626, -99.04376442644046]",2082
5,"[19.43494, -99.195697]","[19.541477905262493, -99.15827775883594]",2227
6,"[19.43494, -99.195697]","[19.57033974755775, -98.99451031049122]",3676
7,"[19.43494, -99.195697]","[19.388703464526824, -99.32040873553096]",3346
8,"[19.43494, -99.195697]","[19.348982397554433, -99.41006897111343]",3706
9,"[19.43494, -99.195697]","[19.390355974676364, -99.0435674876742]",2643
10,"[19.43494, -99.195697]","[19.401774570971646, -99.13377210325966]",1678
11,"[19.43494, -99.195697]","[19.351671178252396, -98.94924235289035]",3397
12,"[19.43494, -99.195697]","[19.548575142493583, -99.37652508939676]",3822
13,"[19.43494, -99.195697]","[19.305285452158095, -99.39848815802986]",2698
14,"[19.43494, -99.195697]","[19.558083310147587, -99.36167145413054]",4433
15,"[19.43494, -99.195697]","[19.426591104675204, -99.04418893786857]",2452
16,"[19.43494, -99.195697]","[19.23446706792206, -98.89768460764665]",4782
17,"[19.43494, -99.195697]","[19.40323083429086, -99.21244696325431]",875
18,"[19.43494, -99.195697]","[19.200480785694886, -99.06857299540648]",4461
19,"[19.43494, -99.195697]","[19.344505860824373, -99.41412558420897]",3233
20,"[19.43494, -99.195697]","[19.215753641338598, -99.28784104799603]",4008
21,"[19.43494, -99.195697]","[19.24683845748336, -99.16126488643575]",2709
22,"[19.43494, -99.195697]","[19.46402657190602, -99.40537685887924]",3456
23,"[19.43494, -99.195697]","[19.51300807969795, -99.09908971871336]",1498
24,"[19.43494, -99.195697]","[19.395573146114494, -99.02745525551764]",2707
25,"[19.43494, -99.195697]","[19.331528330318065, -98.95977721631968]",3501
26,"[19.43494, -99.195697]","[19.403378299014182, -98.90786505654526]",4383
27,"[19.43494, -99.195697]","[19.302691102166445, -99.1503164683647]",2241
28,"[19.43494, -99.195697]","[19.55346843309786, -99.09301184954363]",2842
29,"[19.43494, -99.195697]","[19.368244338285994, -99.18597834552118]",1251
30,"[19.43494, -99.195697]","[19.527845824899295, -98.88916567643976]",3431
31,"[19.43494, -99.195697]","[19.433791636511348, -99.03026835731171]",2833
32,"[19.43494, -99.195697]","[19.497206150321375, -99.09281546705141]",1816
33,"[19.43494, -99.195697]","[19.309437134330768, -99.16548155568837]",2070
34,"[19.43494, -99.195697]","[19.24660725229904, -98.91261159582325]",4248
35,"[19.43494, -99.195697]","[19.216767628615436, -99.20382009440948]",3867
36,"[19.43494, -99.195697]","[19.24366307743769, -99.37410378989058]",2848
37,"[19.43494, -99.195697]","[19.230187704759373, -99.19245863465683]",3283
38,"[19.43494, -99.195697]","[19.288005908707827, -99.13134020603029]",2120
39,"[19.43494, -99.195697]","[19.31276644796084, -99.25649244905321]",2401
40,"[19.43494, -99.195697]","[19.54353502594405, -99.15314941659909]",2214
41,"[19.43494, -99.195697]","[19.443585462844418, -99.19964300755342]",492
42,"[19.43494, -99.195697]","[19.400198487232096, -99.253841107874]",1369
43,"[19.43494, -99.195697]","[19.210003017001746, -99.37239974791837]",4723
44,"[19.43494, -99.195697]","[19.371642414581164, -99.2880756962674]",1974
45,"[19.43494, -99.195697]","[19.513652688390795, -99.42268188847717]",3245
46,"[19.43494, -99.195697]","[19.394717011022145, -99.06394165309631]",2193
47,"[19.43494, -99.195697]","[19.533143078706075, -99.24848762553006]",1939
48,"[19.43494, -99.195697]","[19.32225543254924, -99.16119649805853]",2247
49,"[19.43494, -99.195697]","[19.283233143613977, -99.38244708305169]",2541
50,"[19.43494, -99.195697]","[19.21726790349794, -99.32291114051043]",4325
51,"[19.43494, -99.195697]","[19.576890751979587, -99.05542416734598]",2536
52,"[19.43494, -99.195697]","[19.52439810239925, -99.27650785811961]",1428
53,"[19.43494, -99.195697]","[19.224898463487445, -99.24117238947034]",3491
54,"[19.43494, -99.195697]","[19.34732888152316, -99.26713604804236]",1909
55,"[19.43494, -99.195697]","[19.28635405427697, -99.01378764315798]",3561
56,"[19.43494, -99.195697]","[19.53511504704348, -98.97984672757082]",3733
57,"[19.43494, -99.195697]","[19.250817894650115, -99.25583556469013]",3081
58,"[19.43494, -99.195697]","[19.43308341504041, -99.33368387654899]",1846
